Model,MAE,RMSE
Mean Baseline,36.96522596337408,41.67268886461814
Linear Regression,17.71218298390219,21.634332124754522
KNN,14.211368796053808,20.248179112776185
Decision Tree,14.947291088898723,21.141506116266292
Random Forest,13.621028915592225,18.799941590198095
Gradient Boosting,13.976900616926718,18.87745632501777
